review,sentiment
"i'll_keep_this_one_quite_short._i_believe_that_this_is_an_extraordinary_movie._i_see_other_reviewers_who_have_commented_to_the_effect_that_it's_badly_written , _poorly_shot , _has_a_terrible_soundtrack_and , _worse , _that_it's_not_real_in_its_portrayal_of_life._ok , _so_it_may_not_be_quite_believable_for_its_whole_length , _but_this_movie_carries_a_message_of_hope_which_some_others_seemed_to_have_missed._hope_that_it_isn't_too_late_to_save_people_from_the_terrible_things_that_go_on_in_so_many_lives._gangland_violence_is_real , _right ? _is_it_right , _no ! _this_movie_carries_an_important_social_message_which_the_cynics_may_dislike_but_which_nonetheless_is_to_be_praised , _rather_than_denigrated._i_have_watched_this_movie_with_great_enjoyment_at_least_eight_times , _each_time_with_equal_enjoyment_and_each_time_with_the_feeling_that_maybe_the_world_could_be_made_better_and_is_not_beyond_saving_ ( well_not_until_2008_anyway ) ._9_out_of_10_from_me_for_this_one._it's_very_nearly_perfect_in_my_view._jmv",1
"'it's_easy_to_kill_a_monster , _but_it's_hard_to_kill_a_human_being . ' < br_/ > < br_/ > set_in_st._thomas_housing_project_and_angola_prison_in_new_orleans , _ '' dead_man_walking '' _is_the_true_story_of_helen_prejean_ ( susan_sarandon ) , _a_louisiana_nun_sister_who_befriended_matthew_poncelet_ ( sean_penn ) , _a_murderer_and_a_rapist_bound_for_a_lethal_injection_machine_for_killing_a_teenage_couple _sister_helen_agrees_to_help_the_convict_and_to_remain_with_him_till_the_endan_act_never_before_attempted_by_a_woman _ < br_/ > < br_/ > at_their_first_meeting , _poncelet_swears_to_the_nun_that_his_accomplice_was_the_one_who_shot_both_of_the_kids_and_pleads_her_help_for_a_new_trial_in_order_to_convince_the_pardon_board_hearing_to_spare_his_life _ < br_/ > < br_/ > the_film_challenges_the_audience_to_actually_give_some_thought_to_the_human_consequences_of_the_death_penalty , _but_gives_voice_to_angry_bereaved_parents_whose_kids_were_shot , _stabbed , _raped , _and_left_in_the_woods_to_die_alone _ < br_/ > < br_/ > as_poncelet's_execution_looms_closer_and_closer , _his_character_is_seen_deceptively_complex , _harboring_doubts_about_the_rightness_of_what_they_were_doing_to_him _in_one_moment , _we_hear_him_sensitive_asking_for_a_lie_detector_test_to_let_his_mother_know_that_he_is_innocent , _in_another_we_see_him_furious_playing_the_victim , _blaming_the_government , _drugs , _blacks , _the_kids_for_being_there _poncelet_never_understood_that_he_has_robbed_the_percys_and_the_delacroixs_so_much , _giving_them_nothing_but_sorrow _they_are_never_going_to_see_their_children_again , _never_going_to_hold_them , _to_love_them , _to_laugh_with_them _ < br_/ > < br_/ > in_the_scenes_leading_up_to_his_execution , _the_death-row_inmate_drops_his_terrible_facade_and_reveals_his_identity _luckily_both_sarandon_and_penn_are_here_exceptionalcarrying_out_successfully_an_exquisite , _tangible_harmony_of_souls _when_sarandon_was_looking_at_penn , _she_was_projecting_compassionate_eyes_brimming_with_tears _she_asks_him_to_visualize_her_as_he_dies_ '' i_want_the_last_thing_you_see_in_this_world_to_be_the_face_of_love '' in_that_moment , _we_truly_believed_that_she'll_be_the_face_of_love_for_him",1
"i_found_it_highly_interesting_that_the_film_actually_managed_to_bridge_the_gap_between_my_own_american_culture_and_that_of_the_originators , _i.e._chinese._it_becomes_a_story_about_values , _and_causes_the_watcher_to_reevaluate_their_own_choices_in_life , _and_loyalties_toward_institutions._amazingly_enough , _it_managed_to_do_this_in_a_gentle , _mildly_humorous_manner , _which_only_in_retrospect_seens_threatening_to_one's_status_quo._i_enjoyed_the_movie , _and_would_watch_it_again_if_i_could .",1
"i_had_to_call_my_mother_ ( a_wasp ) _to_ask_her_about_this._was_it_really_that_bad_in_the_40s_in_new_york ? _surprise , _she_couldn't_remember._so_i_told_her_to_see_the_movie._arthur_miller , _in_not_a_screen_play_but_a_novel_for_a_change , _was_30_when_he_wrote_this_in_1945._it_is_a_painful_depiction_of_anti-semitism._yet_oddly_enough , _there_is_a_tender_story_of_human_relationships_ ( finkelstein , _the_jew , _with_newman , _the_non-jew , _primarily ) _underlying_the_cruel_story._the_acting_is_competent_and_the_cinematography_is_very_good. < br_/ > < br_/ > the_only_reason_i_can_think_of_for_this_not_making_it_big_in_the_theatre_is_that_it's_ > > aaagh < < _controversial. < br_/ > < br_/ > i_actually_give_it_ten_of_ten._maybe_a_bit_high , _but_it's_so_worth_seeing .",1
"kirk_and_crew_land_on_a_lonely_planet_where_the_sun_is_about_to_explode._they_intend_to_evacuate_the_inhabitants_but_find_the_place_deserted_except_for_a_mr._atoz_who_operates_some_sort_of_high-tech_library._despite_trying_to_get_a_straight_answer_from_him_about_everyone's_whereabouts , _atoz_is_indifferent_to_their_questions_and_insist_they_must_quickly_'make_a_selection_while_there_is_still_time'._they_have_no_idea_what_he's_talking_about_but_wander_about_looking_at_the_hand_mirror-like_disks_on_the_viewers_and_they_see_images_of_the_planet's_past._then , _while_a_disk_is_in_the_viewer , _kirk_runs_through_the_doorway_and_is_magically_transported_back_in_time_to_what_on_earth_would_look_like_the_time_of_louis_xiv_ ( the_1660s ) ._when_mccoy_and_spock_follow , _a_different_disk_is_in_the_viewer_and_they_are_sent_to_an_ice_age_hell._all_too_late_they_realize_that_the_library_is_a_time_travel_machine_and_repository. < br_/ > < br_/ > while_kirk's_visit_is_pretty_short_and_not_all_that_exciting , _spock_and_mccoy's_is_much_more_eventful , _as_spock_falls_head_over_heels_for_mariette_hartley -- who_was_sent_to_this_awful_place_as_a_punishment._the_scenes_with_spock_are_exceptionally_interesting_and_very_atypical_of_the_normally_logical_guy. < br_/ > < br_/ > spock's_departure_from_the_norm , _the_wildly_inventive_script_and_very_diverse_locales_make_this_an_exceptional_episode -- one_well_worth_seeing. < br_/ > < br_/ > fyi -- ian_wolfe , _the_excellent_character_actor , _played_mr._atoz._i_am_a_huge_fan_of_older_films_and_have_seen_him_as_a_supporting_and_bit_player_in_countless_films_in_the_30s_and_40s_and_he_looked_almost_exactly_like_he_did_in_this_episode_from_1969._interestingly_enough , _despite_looking_ancient , _he_lived_on_another_23_years -- dying_at_over_95_years_of_age ! !",1
"scott_henderson_ ( alan_curtis ) _is_unjustly_accused_of_killing_his_unfaithful_wife._the_night_she_was_murdered_he_was_out_with_a_mystery_woman_who_refused_to_give_him_her_name._after_accused_of_the_murder , _the_police_visit_all_the_places_he_had_been_with_her , _but_people_only_remember_him_being_alone._he's_sentenced_to_die_and_his_secretary_ ( ella_raines ) _sets_out_to_find_the_murderer_herself_because_she_loves_him. < br_/ > < br_/ > this_was_made_as_a_b_film_from_universal_ ( look_at_the_cast -- all_character_actors_and_one_star -- franchot_tone -- on_the_decline ) ._the_budget_was_small_and_the_cast_mostly_unknown_but_what_came_out_is_one_of_the_best_film_noirs_of_the_1940s._it's_beautifully_directed_by_curt_siodmak_and_has_a_fantastic_script_that_came_from_an_excellent_book_by_william_irish_ ( a_pen_name_for_cornell_woolrich ) ._it_moves_quickly_and_just_looks_fantastic._and_there's_the_infamous_jam_session_with_raines_and_elisha_cook_jr._which_just_comes_off_the_screen_with_incredible_sexual_energy_ ( i'm_surprised_the_censors_didn't_cut_it ) . < br_/ > < br_/ > there_are_only_a_few_flaws_that_prevent_this_from_being_perfect._tone_gives_a_dreadful_performance._he_looks_ghastly_and_he's_just_horrible._also_curtis_is_stiff_and_bland_as_henderson._you_really_wonder_why_raines_loves_him -- he's_so_unemotional._but_raines_is_pretty_good_in_the_lead_role._she's_pretty_and_full_of_life._also_the_last_scene_when_the_murderer_is_after_her_never_rings_true._he's_hardly_a_threat_physically_and_her_reactions_just_seem_overstated. < br_/ > < br_/ > still_i'm_giving_this_a_9._a_really_great_film -- flaws_aside .",1
"can't_say_this_wasn't_made_well._at_a_recent_film_festival_the_director_admitted_some_scenes_took_30_takes._and_there_isn't_the_slightest_indication_he_didn't_get_exactly_what_he_wanted._but_this_is_an_oddly_non-hispanic_film_in_the_same_way_west_side_story_was_many_years_ago._both_the_leads , _a_brother-sister_team , _are_excellent_and_memorable_in_their_parts._the_setting , _a_sort_of_underground_car_repair_district_in_queens , _is_completely_foreign_to_most_people_and_is_worth_the_price_of_admission_by_itself._but_there's_something_unsatisfying_about_the_key_issue_in_the_film , _namely , _what_the_sister_feels_she_has_to_do_to_get_by._i_can_understand_the_brother's_reaction , _but_it_just_seems_a_little_too_easily_come_by_to_me._the_movie_seems_to_suggest_that_people_like_these_don't_need_our_help , _that_they'll_find_a_way_to_survive_without_the_usual_support_systems._i_wouldn't_encourage_anyone_to_believe_that._there_would_be_far_more_resistance_to_the_choices_made_here_than_depicted._other_than_that_as_an_entertainment_it_works_well._as_an_accurate_depiction_of_a_culture , _not_so_well , _i_think .",1
"the_movie_is_a_riot_-_hilariously_funny_yet_graphically_violent._just_when_you_think_you_can't_take_any_more_it_gives_you_more._great_thiller._the_cast_is_excellent_and_the_plot_is_very_convincing._the_past_does_indeed_catch_up_with_our_hero , _but_right ( ? ) _prevails .",1
"this_film_was_amazing._it_is_an_inspiring_piece_of_cinema._the_characters_are_fully_developed_through_the_truth_in_which_director , _lucy_walker_brings_to_the_film._i_highly_recommend_this_to_any_one_looking_for_that_special_film_that_shows_the_humanity_in_the_human_condition._lucy_wlaker_showcases_the_landscape_beauty._this_film_id_a_true_example_of_man_vs._nature_and_sometimes_man_vs._man._the_inner_turmoil_and_triumph_is_tremendous_in_its_subject_matter._the_subject_of_how_the_tiebtans_view_blindness_as_a_sign_of_demons_is_interesting._this_film_sheds_light_on_a_particular_culture_that_has_never_been_showcased._lucy_walker_has_given_erik_weihenmayer_a_voice_when_he_would_have_not_normally_been_heard._thank_you_lucy_for_being_true_to_your_vison_as_a_filmmaker .",1
"one_of_the_best_horror/suspense_movies_i_have_seen_in_a_long_time._wow , _it_was_a_big_surprise_and_stunning_at_how_good_this_movie_was , _sometimes_a_gem_like_this_will_surface_but_is_rare._i_expected_a_popcorn_monster_flick_and_a_mildly_diverting_way_to_spend_a_late_night_but_instead_a_very_well_made_and_directed_movie_with_great_acting_and_made_with_passion_and_heart._ < br_/ > < br_/ > this_is_a_movie_that_makes_you_feel_for_the_characters_and_what_happens_to_them , _and_it_is_filmed_like_you_are_there_and_it_is_really_happening._i_know_some_people_in_other_reviews_compare_it_to_ '' open_water '' , _but_i_disagree_because_i_thought_open_water_was_quite_boring_and_mediocre , _while_this_movie_was_the_opposite , _although_superficially_they_are_filmed_in_the_same_ '' realistic '' _style. < br_/ > < br_/ > the_actors_are_unknowns , _at_least_to_me , _but_they_all_are_very_effective_and_convey_the_dire_situation_with_frightening_intensity_and_realism._the_story_is_well_done_and_flows_smoothly , _the_plot_is_logical_and_appears_to_be_something_that_could_happen , _all_the_actions_and_thoughts_of_the_characters_are_quite_what_a_person_would_do_and_think_about._very_believable_and_this_makes_the_movie_more_real_because_of_it. < br_/ > < br_/ > i_had_tears_in_my_eyes_at_the_end._i_must_say_a_movie_seldom_has_this_effect_on_me , _this_is_how_powerful_and_emotional_this_movie_was_done_and_i_am_suitably_impressed_by_the_director_and_actors_of_this_great_movie .",1
