review,sentiment
"the_opening_credits_are_pure_poetry_and_i_have_watched_it_several_times._it_had_a_corny_20's_adventure_feel_to_it._of_course_kathy_is_gorgeous , _but_that_voice ! _did_she_realize_this_was_a_talkie._one_word -- voice_coach._great_film_for_chronic_insomnia_ ( along_with_a_bottle_of_scotch ) .",0
"boring_children's_fantasy_that_gives_joan_plowright_star_billing_but_little_to_do._sappy_kids_pursue_their_dreams._frankie_wants_to_be_a_ballerina_and_a_baseball_player_ ( yuk ) _while_best-friend_hazel_runs_for_mayor -- -she's_13 ! _totally_pedestrian_in_every_way , _plus_the_added_disadvantage_of_syrupy_performances_by_the_girls_as_well_as_the_baseball_boys._certainly_a_lesser_effort_for_showtime -- -no_limits ?",0
"truly_a_great_leap_forward_in_the_perfection_of_painful_cinema. < br_/ > < br_/ > everything_about_this_film_is_bad._acting_ ( if_it_can_be_called_that ) , _lighting , _sound , _script_ ( if_there_was_one ) , _editing , _direction , _camera_work , _it_is_all_atrocious._there_is_not_a_single_element_that_is_done_well._if_i_thought_that_this_was_intentional_then_i_might_give_the_film_some_credit_but_i_can_not_believe_people_would_set_out_to_make_such_a_horendous_film. < br_/ > < br_/ > this_film_is_worth_buying_and_screening_to_your_worst_enemies .",0
"i'm_not_sure_why_there_are_no_articles_or_posters_or_anything_about_this_film_because_i_just_saw_it_and_thought_it_was_awesome._i_guess_it's_not_for_everyone_because_it's_basically_kafka's_ '' the_trial '' _meets_ '' beevis_and_butt-head '' , _which_is_a_pretty_tough_combination_to_swallow._still , _i_thought_it_was_great._if_you're_going_to_see_it_because_you_want_a_sequel_to_office_space_you're_probably_going_to_be_disappointed._but_if_you_want_to_see_one_of_the_most_brutal , _acid-tongued , _and_hilariously_honest_looks_at_where_our_society_is_headed_you're_in_for_a_treat._i_just_saw_the_8pm_show_opening_night_in_los_angeles_and_there_were_only_12_people_in_the_theater , _which_means_the_film_will_probably_be_gone_in_a_week._that's_really_a_shame_because , _in_its_own_way , _idiocracy_is_one_of_the_best_satires_to_come_along_in_quite_a_while._but_then_again_it's_basically_making_fun_of_the_people_who_make_up_about_99 % _of_the_movie-going_audience_so_i_guess_it's_no_wonder_the_studio_panicked_and_tried_to_dump_it .",1
"i_have_bought_the_complete_season_of_surface._watched_it_in_3_days ! _i_was_so_captured_by_the_the_plot , _theories_and_basically_everything_about_this_show._the_actor_who_plays_miles_is_great._mile's_sister , _mother_and_father_acted_like_real_life_family_would._you_could_connect_on_so_many_levels_it's_fascinating. < br_/ > < br_/ > i_find_animals_are_so_wonderful , _you_can_almost_connect_with_them_as_a_parent_is_to_a_child._it_would_be_something_if_a_creature_of_this_sort_of_nature_truly_exists. < br_/ > < br_/ > am_sadden , _that_surface_is_not_having_a_second_season_or_at_least_four_more_shows._i_have_so_many_questions_that_need_to_be_answered_and_hopefully_maybe_they_will_create_more_or_maybe_in_a_book. < br_/ > < br_/ > love_the_show_very_much._for_those_who_haven't_watched_surface , _if_you_like_sci-fi_you_need_to_watch_this ! ! ! ! ! ! ! ! ! ! ! ! !",1
"two_years_after_this_short , _the_last_ '' our_gang '' _short_was_made._after_seeing_this , _you_wonder_how_it_even_lasted_that_much_longer._the_quality_of_ '' our_gang '' _nosedived_soon_after_moving_from_hal_roach_to_mgm , _and_this_short_is_a_perfect_example._the_gags_are_all_very_unfunny_and_froggy's_last_line_of_this_being_the_happiest_day_of_his_life_paints_a_bad_picture_in_your_mind_of_what_it's_like_for_him_the_rest_of_the_time._a_very_poor_example_of_film_making .",0
"it_was_just_a_terrible_movie._no_one_should_waste_their_time._go_see_something_else._this_movie_is , _without_a_doubt , _one_of_the_worst_movies_i_have_ever_seen_in_my_life._if_you_want_to_see_a_good_movie , _don't_see_made_men .",0
"finally_got_to_see_this_movie_last_weekend._what_a_disappointment .. it_barely_reaches_ '' made_for_tv '' _level._given_the_list_of_actors , _i_would_have_expected_something_substantially_more_sophisticated._the_movie_lacks_a_good_story , _well , _actually_any_story_for_that_matter._it_has_no_credibility , _instead_lots_of_predictability._save_yourself_the_money_and_the_time .",0
"michael_polish's_hypnotic_ '' northfork '' _is_a_film_that_will_stay_in_one's_memory_for_quite_a_long_time._this_exquisitely_crafted_movie_that_michael_and_mark_polish_wrote , _is_visually_one_of_the_best_things_that_came_out_last_year_from_the_world_of_independent_films._the_movie_is_splendidly_photographed_by_m._david_mullen , _with_a_haunting_score_by_stuart_matthewman. < br_/ > < br_/ > if_you_haven't_seen_the_film , _perhaps_you_should_stop_reading_here. < br_/ > < br_/ > the_idea_to_set_the_film_in_montana_was_a_great_coup_for_the_polish_brothers._never_has_the_majestic_views_of_the_country_and_mountains_been_so_vividly_captured_as_in_ '' northfork '' ._we_don't_need_any_color ! _the_beauty_is_in_the_dark_tones_of_the_film_that_enhances_the_story_of_the_desolation_in_this_remote_outpost. < br_/ > < br_/ > at_the_center_of_the_story_is_irwin , _the_sick_child_under_the_care_of_the_mysterious_father_harlan._this_boy_is_seen_in_his_bed_where_the_kind_priest_is_administering_the_medicine_for_his_body._but_is_he_really_there_at_all ? _we_watch_him_interacting_with_the_odd_group_that_we_first_encounter_around_the_cemetery._there_are_two_freshly_open_graves._will_one_of_them_be_for_irwin ? _ < br_/ > < br_/ > at_the_same_time , _another_plot_line_plays_parallel_to_this_first_theme._we_see_the_six_men_in_black_that_have_come_to_the_area_in_order_to_remove_from_the_area_as_many_people_as_they_can._this_will_be_the_bed_for_the_man_made_lake_that_will_be_created._their_reward_is_one_acre_and_a_half_of_lake_front_property_if_they_move_a_certain_amount_of_people. < br_/ > < br_/ > the_third_story_line_centers_on_the_mystical_group_composed_by_flower_hercules , _cup_of_tea , _cod_and_happy._they_are_following_a_possibility_of_a_link_to_an_angel_that_has_been_injured_in_this_area._when_irwin_meets_them_at_the_cemetery , _he_offers_to_help , _only_if_they_take_him_away_at_least_a_thousand_miles_from_here._we_watch_as_the_quartet_examine_the_feathers_the_boy_has_placed_among_the_pages_of_his_bible._could_irwin_be_that_angel ? _ < br_/ > < br_/ > the_closing_sequence_show_us_all_parties_leaving_northfork_in_different_directions._the_men_in_black_riding_their_automobiles , _perhaps_going_home_to_enjoy_the_newly_acquired_properties_given_to_them_as_a_reward._the_mystical_group_is_seen_boarding_a_plane_and_taking_off_for_a_higher_place._we_also_realize_that_the_child_in_father_harlan , _in_spite_of_the_medicines_and_the_care_he_received_from_the_saintly_figure , _has_died. < br_/ > < br_/ > michael_polish_got_one_of_the_best_ensemble_acting_from_all_the_principals._nick_nolte , _as_father_harlan_turns_a_low_key_performance_in_his_portrayal_of_this_kind_man._james_woods , _as_walter , _one_of_the_men_working_for_the_developer , _does_a_fine_job._the_biggest_surprise_is_duel_farmer , _who_makes_an_excellent_impression_as_irwin._this_child_actor , _with_the_right_guidance , _shows_great_promise. < br_/ > < br_/ > the_mystical_group_is_brilliantly_acted_by_daryl_hannah , _robin_sachs , _ben_foster_and_anthony_edwards , _the_man_with_the_funny_spectacles._peter_coyote , _mark_polish , _ben_foster , _and_the_rest_of_the_cast_are_flawless_under_mr._polish_direction. < br_/ > < br_/ > the_beauty_of_the_film_relies_in_its_simplicity._mr._polish's_vision_will_haunt_one's_memory._the_images_of_montana , _as_perhaps_an_unreal_landscape_is_one_of_the_best_things_in_american_films_in_quite_a_while .",1
"this_movie_was_a_poor_movie._the_plot_was_poor_and_the_comedy_they_ '' tried '' _to_deliver_came_out_poorly._the_accidents_seem_contrived_and_predictable._i_thought_the_actors_tried_to_some_extent_but_with_this_movie , _it_was_so_lame_it_can_only_go_so_far.one_of_the_worst_films_i_have_seen_and_don't_recommend_it_to_anyone._the_only_accident_to_mr._accident_was_it's_release .",0
