review,sentiment
"hey_yall ! _the_best_drama_every_is_now_on_gospel_music_channel ! _go_to_their_website_to_see_the_schedule_and_find_out_what_number_it_is_on_your_cable_or_satellite_this_was_one_of_my_favorite_shows_growing_up._it_has_everything_that_i_want_a_tv_show_to_be , _a_clean_family_friendly_drama_that_does_not_gross_me_out._the_story_about_a_man , _who_after_loosing_his_work , _decides_to_set_off_for_a_great_cross_country_adventure._along_the_way_they_meet_all_sorts_of_interesting_people_and_find_themselves_in_the_midst_of_all_kinds_of_trouble._this_show_was_originally_a_spin_off_of_touched_by_an_angel , _another_really_good_family_show._make_sure_you_check_it_out !",1
"i_love_the_premise , _but_it's_replay_value_is_only_for_certain_parts ( the_opening_scene_of_course ) ._some_characters_are_a_bit_outrageous , _but_they_are_entertaining_none_the_less._i_think_the_ballping_sh-t_was_pushing_it._i_know_it_was_to_show_that_nick_and_casey_were_living_foul_out_in_la_and_to_show_why_casey_quit_the_lifestyle , _i_just_think_that_the_flashback's_story_could_have_been_better._also_the_jamaican_guy_rapping_on_the_phone_is_clever_and_entertaining , _but_once_again_i_think_the_story_was_told_sloppy._it_really_seems_unbelievable._i_actually_believe_swordfish_ ( the_other_movie_woods_has_written ) _more_than_some_of_the_parts_in_thursday_because_the_government_keeps_sh-t_a_secret_all_the_time , _and_has_organizations_set_up_that_the_public_will_never_know_about. < br_/ > < br_/ > thursday_is_the_best_quentinesque_movie_i've_seen._i_think_woods_is_imaginative , clever_and_has_witt ; _however , _his_work_needs_more_maturation_to_even_to_get_to_the_natural_born_killer_script_ ( not_stone's_movie ) _level._how_old_is_he_anyway ?",1
"my_guess_is_that_this_director/writer_had_something_to_say._let's_see , _what_it_could_have_been ... _a._frog_storms_would_be_creepy ? _b._can_i_get_someone_like_tom_cruise_to_say_the_ '' c '' _word_many_times_and_look_like_a_bad_patrick_rafter ? _c._cast_my_wife_and_get_her_to_say_the_ '' f '' _word_every_2_seconds._this_aside_i_really_liked_the_beginning_and_the_frog_storm._the_rest_was_a_relentless , _over-long_ ( under-edited ) , _over-indulgent_failure._glad_so_many_of_you_enjoyed_it ! _ < br_/ > < br_/ >",0
"in_the_groovy_mid_70's_a_scruffy_bunch_of_brash_young_venice , _california_adolescents_from_broken_homes_and_the_bad_side_of_town_known_as_the_z-boys_turned_the_previously_staid_world_of_professional_skateboarding_on_its_ear_with_their_fierce_punk_attitude , _radical_unconventional_riding_style , _and_unbridled_spirit_of_pure_in-your-face_aggression , _revolutionizing_the_sport_in_the_process_and_paving_the_way_for_the_many_extreme_variations_on_sports_that_popped_up_in_their_influential_wake._director_stacy_peralta , _who's_one_of_the_legendary_z-boys_himself , _relates_the_incredible_exploits_of_this_amazing_ragtag_crew_in_a_ferociously_punchy_and_visceral_manner_that's_both_informative_and_wildly_entertaining : _the_snappy_rapid-fire_editing , _ceaseless_speedy_pace , _and_raw , _gritty_photography_deliver_one_hell_of_an_infectiously_kinetic_buzz , _projecting_a_sense_of_sheer_joy_and_full-on_bustling_energy_that's_a_total_pleasure_to_behold._better_still , _this_documentary_neither_sanitizes_nor_romanticizes_its_subjects : _these_rough'n'scrappy_lads_were_so_fiercely_competitive_and_out_for_themselves_that_they_all_went_their_separate_ways_when_the_lure_of_fame_and_fortune_manifested_in_their_lives._the_ultimate_fates_of_certain_guys_is_poignant_and_heartbreaking , _with_gifted_and_spontaneous_ace_skateboard_rat_jay_adams_rating_as_the_saddest_and_most_tragic : _he_blew_his_chance_at_the_big_time_and_wound_up_doing_time_in_jail._the_other_dudes_are_very_colorful_and_personable_as_well ; _charismatic_ball_of_cocky_and_defiant_fire_tony_alva_in_particular_comes_across_as_one_arrogant , _yet_impressive_piece_of_furiously_assertive_work._marvelously_narrated_with_delightfully_easy'n'breezy_nasal_nonchalance_by_sean_penn._the_terrific_rock_soundtrack_likewise_seriously_smokes._but_what_really_makes_this_documentary_such_a_winner_is_its_refreshing_complete_dearth_of_pretense : _it's_every_bit_as_dynamic , _exuberant_and_larger-than-life_extraordinary_as_the_gloriously_outrageous_z-boys_themselves .",1
"there_are_interesting_pieces_here_of_and_about_bruce_weber's_likes_and_dislikes._maybe_if_a_professional_editor_had_put_it_together_for_biography , _i_would_have_felt_more_satisfied._instead , _i_spent_ $ 8_at_a_film_festival_on_it._for_an_autobiography , _almost_nothing_is_revealed_about_bruce_weber , _other_than_he_likes_to_look_at_photographs , _shoot_interesting_people , _especially_beautiful_teenage_boys , _and_listen_to_jazz._the_director_of_ '' crumb '' _would_have_made_a_much_more_interesting_and_cohesive_film .",0
"saw_this_a_couple_times_on_the_sundance_channel_several_years_ago_and_received_a_nice_cinematic_jolt_to_the_system._a_semi-surreal_yet_hard_edged_take_on_modern_media_culture_ ( or_the_lack_of_it ) , _focusing_on_some_seriously_wacked , _way-beyond-the-hollywood-fringe_dwellers._it_had_an_amusing_early_performance_from_mark_ruffalo , _and_some_memorable_cinematography_from_the_dp_who_did_the_polish_brothers_movies._there_was_a_savage_umcompromising_humor_and_a_weirdly_original_feel_to_it_that_definitely_set_it_apart._this_film_had_cult_classic_written_all_over_it , _and_i'm_surprised_it's_not_yet_out_on_dvd._ < br_/ > < br_/ > hopefully_soon .",1
"one_of_the_best_and_most_exciting_of_all_conspiracy_thrillers , _ ( there_were_a_number_of_such_film_in_the_1970 's ) ._this_one_is_about_an_accident_at_a_neuclear_reactor_and_of_the_attempts_to_cover_it_up._jack_lemmon_is_the_employee_who_realizes_just_how_dangerous_the_plant_is_and_jane_fonda_is_the_crusading_television_reporter_who_takes_the_story_on_board_and_both_players_are_at_their_best. < br_/ > < br_/ > the_events_portrayed_in_the_film_are , _of_course , _terrifying_and_not_in_the_least_bit_far-fetched , _ ( much_of_what_happens_here_happened_in_real_life_at_three_mile_island ) , _and_although_it_now_looks_like_something_a_period_piece_it , _nevertheless , _highlights_just_how_fragile_and_dangerous_a_world_we_have_created_for_ourselves._expect_a_number_of_similar_films_about_the_effects_of_global_warming_any_time_soon , _ ( and_not_rubbish_like_ '' the_day_after_tomorrow '' _either ) .",1
"i_was_blown_away_when_i_saw_ '' the_best_years_of_our_lives '' ._the_acting , _script , _and_master_william_wyler's_direction ( winner_of_best_director_in_1946 ) is_brilliant. < br_/ > < br_/ > this_film_is_about_three_wwii_veterans_who_come_home_from_the_war_and_are_reunited_with_their_loved_ones , _but_have_to_deal_with_the_hardships_of_coming_home_from_the_war. < br_/ > < br_/ > the_first_man_al_stephenson ( played_by_fredric_march_in_his_oscar_winning_role ) _comes_home_to_find_his_wife_millie ( played_by_myrna_loy ) _and_children_peggy_and_rob ( played_by_teresa_wright_and_michael_hall ) _are_more_grown_up_and_different_than_before_he_left_for_the_war. < br_/ > < br_/ > the_second_man_fred_derry ( played_by_dana_andrews ) _has_to_find_a_good_job_and_come_home_to_a_wife_he_had_only_been_married_to_20_days_before_he_left_for_the_war._he_begins_to_find_out_that_she_is_not_the_same. < br_/ > < br_/ > homer_parish ( played_by_harold_russell_in_his_oscar_winning_role ) has_lost_his_hands_in_the_war_and_must_deal_with_his_family's_and_fiance'_wilma 's ( played_by_cathy_o'donnell ) _reactions_to_the_hooks_he_has_instead_of_his_hands. < br_/ > < br_/ > all_of_these_men_and_their_families_are_reunited_in_the_film_in_different_scenes._the_stories_of_these_men_are_all_interwoven_beautifully_together. < br_/ > < br_/ > this_film_truly_defines_the_meaning_of_a_ '' classic '' ._this_unforgettable_drama ( winner_of_best_picture_in_1946 ) _is_a_film_that_everyone_should_see. < br_/ > < br_/ > if_i_was_asked_to_pick_a_favorite_film_this_would_be_it ! < br_/ > < br_/ > out_of_10_i_would_give_ '' the_best_years_of_our_lives '' _an_10. < br_/ > < br_/ > so_next_time_you_go_to_your_local_video_store_rent_this_movie_you_won't_regret_it ! < br_/ > < br_/ > no_objectionable_material_a_good_family_film .",1
a_somewhat_dull_made_for_tv_movie_which_premiered_on_the_tbs_cable_station._antonio_and_janine_run_around_chasing_a_killer_computer_virus_and ... that's_about_it._for_trivia_buffs_this_will_be_noted_as_debuting_the_same_weekend_that_the_real_life_'melissa'_virus_also_made_it's_debut_in_e-mail_inboxes_across_the_world .,0
"for_a_lot_of_time_i_was_looking_forward_to_see_this_movie , _here_in_latinamerica_japanese_or_any_oriental_movies_have_no_distribution_in_theaters , _we_can_find_some_of_those_movies_in_some_underground_stores , _and_i_just_found_avalon , _i_was_expecting_something_good , _but_the_only_good_thing_in_this_movie_is_the_first_scene , _the_rest_of_the_movie_is_boring_and_senseless , _just_plain_stupid , _with_a_lot_of_useless_scenes , _and_a_boring_story._i_am_wasting_my_time_even_writing_about_this_film._sorry_but_is_the_truth .",0
